id;product_id;quantity_available;cost_price;created_at;updated_at
13674293-271a-4038-b81b-f979c851bd5e;4d2f0414-f7e1-4bef-bac9-0dcca3542219;0;78000.00;2026-02-12 15:22:37.067776+00;2026-04-09 15:31:39.778682+00
cc3cc946-eb82-450a-aa51-64c78887a02e;3e75cc5f-fb56-43a9-ba53-da018599d5dd;0;26000.00;2026-01-29 08:52:50.537164+00;2026-04-09 15:31:46.763745+00
3106a548-67ba-40cd-958c-93b8a36d2eda;4c606062-d69c-4775-bd75-dc311e84e89f;3;14888.95;2026-05-18 09:01:51.987082+00;2026-05-18 09:01:51.987082+00
24f43358-4ed3-48c3-b643-e70c3e809122;cb8dd565-202b-494c-a8ac-ec7e08a78d3d;1;20000;2026-04-21 11:01:08.115614+00;2026-04-21 11:01:08.115614+00
4dabb1a7-3567-4497-8378-8c6ee457fae7;633b4b61-6aef-408d-996e-a58058b431a0;3;47857.33;2026-05-18 12:53:48.223338+00;2026-05-18 12:53:48.223338+00
8a76a63d-cb12-4c3e-84d4-988dadc1baf7;3ad32e2a-0f7e-4cec-9e95-ebd735228e99;4;66382.07;2026-04-21 12:51:46.822059+00;2026-04-23 08:16:01.626946+00
96cadf9e-d118-45f6-acb7-3b6e7a8c0e89;7caed666-b017-43fb-9823-81e66e3faaea;4;51063.13;2026-04-21 13:10:40.568028+00;2026-04-23 08:21:05.815661+00
29443a8d-7ded-4ffb-a9c4-f4b4d318194e;40d561d7-ff71-4dd0-acfd-495bcb7455ed;1;19142.93;2026-05-18 12:54:54.348178+00;2026-05-18 12:54:54.348178+00
e95031ae-354a-4046-9561-14ee47638aec;a00842ab-b598-4002-97bd-f9f2a03ac329;2;78637.22;2026-04-21 14:58:28.382925+00;2026-04-23 08:30:27.294606+00
7a728a4b-37c0-44d9-b4e0-fa4b92ae429c;78849f62-975a-4999-b025-36d14777fe2a;2;25531.57;2026-04-21 15:04:43.383171+00;2026-04-23 08:33:10.205912+00
2031532a-646d-4147-9625-20077a06c567;c4ec2c32-62b4-4ae0-ad05-89f63fd2040a;2;7444.47;2026-05-18 12:56:00.609982+00;2026-05-18 12:56:00.609982+00
0b2f15d7-3ac7-4213-997f-3c9a3e0dfa7d;9600366b-c784-49d1-a169-fede0d63b718;2;15952.44;2026-05-19 08:38:41.361968+00;2026-05-19 08:38:41.361968+00
b98d5f05-3a26-4710-b553-fb60c313c360;beb31d24-a69d-431b-af9a-6337b9be3842;6;12413.31;2026-04-21 13:39:17.973709+00;2026-04-23 08:39:39.843256+00
d9aff588-fcd3-4fd2-be14-f7e1b0a860ed;ce6ac8de-b94f-49df-96d3-d03c299afccc;0;10643.81;2026-04-23 09:00:50.851992+00;2026-04-23 09:02:55.082596+00
3dd7df4b-bb78-40b6-8b11-8c0139697ad8;a0ef69a9-b34a-4e7b-94d5-42fcf743537a;6;12761.95;2026-05-19 09:02:09.124731+00;2026-05-19 09:02:09.124731+00
3dc747e6-764f-4b94-aaee-3db87ea8ee80;fecb237c-2f43-4a38-b670-7b20f61b47bc;6;21801.67;2026-05-19 15:58:08.796895+00;2026-05-19 15:58:08.796895+00
953a71ae-7bd6-4a21-8577-052c96b171ae;2bdc468c-b536-4770-bca9-8c1929c7916b;4;69127.25;2026-05-19 16:06:18.636155+00;2026-05-19 16:06:18.636155+00
e9f2d2d7-3fa5-43bf-9496-9c692af9c8c0;282536c2-2d54-4a73-a8de-c15b3f37333a;0;23855.41;2026-05-07 13:55:13.933755+00;2026-05-07 14:03:02.897041+00
58e40cbd-49b9-4149-a44e-c56b9f63fd8b;dc4b7469-0f4c-4f7d-b9ca-66523e42f44d;1;46692.88;2026-01-29 08:52:50.537164+00;2026-05-21 14:08:52.864027+00
8ac577fe-5643-48a9-a5d2-659a6a987de9;e3d6682f-7455-4043-b891-596bc3fdc7e1;4;30637.88;2026-04-21 13:30:03.405176+00;2026-05-21 16:05:57.100022+00
671a6241-00bc-49d6-a710-32db18c1fa1e;a41fd92b-20fb-4a08-916a-4e5c6be45985;4;54126.92;2026-04-21 14:47:33.077849+00;2026-05-09 10:02:08.082787+00
58812bf6-d49a-423d-a15c-da54b1247a3c;bf2050e5-c9b0-4371-a2b8-5249309e0247;16;6741.75;2026-01-28 09:08:28.753531+00;2026-05-11 11:36:11.464875+00
072e3058-c671-4a54-9d8e-7efa97c622d9;d7516988-ca63-4a17-9967-fb1466e91183;0;139649.7;2026-04-21 15:27:49.125306+00;2026-05-11 11:37:30.280825+00
cbf9bc76-f25d-4cc3-b178-b77915aee07c;51018d12-7f8e-4399-bbcb-9fa29f6bec09;1;56894.32;2026-04-21 13:37:52.394855+00;2026-05-13 15:09:12.681046+00
e7301478-1859-4f30-b7f2-9b9590dec074;4dc66e1c-18ed-4335-9ec1-118def0cdb8c;6;32166.21;2026-01-29 08:52:50.537164+00;2026-05-14 12:51:24.543948+00
f572a949-a85b-40ff-91e8-8c52980c69e4;a7031f52-59a2-4c34-942f-c1f0163ff8ba;1;35000.00;2026-02-12 15:38:33.521735+00;2026-04-08 15:50:19.056794+00
c228b3dc-5c64-421e-9c9b-3196a82946f0;d2deab8e-09e8-4dce-99f5-093acac1f044;1;235000.00;2026-01-27 13:09:01.851133+00;2026-04-08 15:50:19.056794+00
53c7b5dc-de55-4f47-9dc5-ddd529ec1653;cca22f9a-d02a-4012-8aea-cedf2105d87d;1;46000.00;2026-01-29 08:52:50.537164+00;2026-04-08 15:50:19.056794+00
bed5409b-dce1-4c08-b2c4-3c95c430e580;0e1644f1-a4ec-434c-950d-46a6d90923c4;1;15000.00;2026-01-29 08:52:50.537164+00;2026-04-08 15:50:19.056794+00
